//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 247008
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima7;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus13;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00247008;1;01/01/1996;1;69,8;339,3;4;17;1;1;0;2768,7;1;0;0;32,7;69,8;0;3,5;0;3,7;0;0;24,3;17,5;43,7;3,3;0;0,8;0;16,5;14,1;0;9,3;0;1,3;58,7;0;24,4;0;8,9;6,8;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/02/1996;1;84,2;308,7;19;22;1;1;0;2768,7;1;6,1;7,9;0;0;16,4;4,6;8,9;8,6;0;2,7;2,8;0;0;0,4;4,9;12,1;32,6;7,8;84,2;3,6;11,3;46,7;0;4,1;0;8,4;1,9;31,8;0,9;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
00247008;1;01/03/1996;1;140;544,2;22;25;1;1;0;2768,7;1;36,1;9,1;5,9;35,7;16,5;3,8;5,3;0;0;0;22,1;15,3;11,9;2,1;35,3;26,1;32,1;16,2;0,6;70,5;6,2;140;0;2,4;6,8;3;28,2;0;0;2,3;10,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/04/1996;1;146,2;671,5;13;18;1;1;0;2768,7;1;33,9;0;0;11,4;4,4;0;21,1;20,2;39,2;0;0;15,4;146,2;0;0;27,1;29,4;33,6;24,3;35,6;0;0;18,3;6;0;141,3;0;61,6;0;2,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/05/1996;1;48,8;365,9;27;20;1;1;0;2768,7;1;2,6;41,7;0,2;46,3;39,6;21,7;24,3;16,3;0;19,3;26,9;0;12,1;0;0;0;1,1;0;11;0;7,6;0;0;2,8;0;1,5;48,8;4,6;0;9;28,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/06/1996;1;24,8;55,4;20;8;1;1;0;2768,7;1;0;18,3;0;3,8;0;2,1;0;0;0;1,1;0;0;0;0;0;0;0;0;0;24,8;2;0;0;2,7;0;0,6;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/07/1996;1;16,4;43,6;1;9;1;1;0;2768,7;1;16,4;2,1;0;0;0;0;0;0;0;0;0;2,9;0;3,1;2,1;5,6;0;0;0;0;0;7,9;0;1,5;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/08/1996;1;26,5;97,7;21;12;1;1;0;2768,7;1;0;0;0;0;4,1;0,8;0;0,8;0;9,6;0;0;0;14,3;10,9;0;0;16,1;0,6;0;26,5;0;5,2;0;0;0,7;0;0;0;8,1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/09/1996;1;10,4;62;19;11;1;1;0;2768,7;1;1,8;0;0;0;7,4;0;0;0;1,8;8,8;0;0;0;0;10,2;0;0;0;10,4;0,3;0;0;0;2,6;0,3;0;8,1;10,3;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/10/1996;1;18,4;46,6;8;8;1;1;0;2768,7;1;0;1,4;13,2;0;0;0;1,6;18,4;0;0;0;0,8;0;0;0;0;0;0;0;0;3,7;0;0;0;0;0;1,8;0;0;0;5,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
